,Trend Direction,Start Date,End Date
0,No Trend,02 Jan 1980,29 Jan 1980
1,Bullish,29 Jan 1980,19 Feb 1980
2,Bearish,19 Feb 1980,20 Feb 1980
3,Bullish,20 Feb 1980,21 Feb 1980
4,Bearish,21 Feb 1980,17 Mar 1980
5,No Trend,17 Mar 1980,18 Mar 1980
6,Bearish,18 Mar 1980,24 Mar 1980
7,No Trend,24 Mar 1980,27 Mar 1980
8,Bearish,27 Mar 1980,09 Apr 1980
9,Bullish,09 Apr 1980,17 Apr 1980
10,Bearish,17 Apr 1980,23 Apr 1980
11,Bullish,23 Apr 1980,30 May 1980
12,No Trend,30 May 1980,02 Jun 1980
13,Bullish,02 Jun 1980,11 Jun 1980
14,No Trend,11 Jun 1980,12 Jun 1980
15,Bullish,12 Jun 1980,18 Jun 1980
16,No Trend,18 Jun 1980,19 Jun 1980
17,Bullish,19 Jun 1980,21 Jul 1980
18,No Trend,21 Jul 1980,22 Jul 1980
19,Bullish,22 Jul 1980,05 Aug 1980
20,Bearish,05 Aug 1980,06 Aug 1980
21,Bullish,06 Aug 1980,28 Aug 1980
22,Bearish,28 Aug 1980,03 Sep 1980
23,Bullish,03 Sep 1980,09 Sep 1980
24,Bearish,09 Sep 1980,10 Sep 1980
25,Bullish,10 Sep 1980,29 Sep 1980
26,Bearish,29 Sep 1980,03 Oct 1980
27,Bullish,03 Oct 1980,23 Oct 1980
28,Bearish,23 Oct 1980,10 Nov 1980
29,Bullish,10 Nov 1980,20 Nov 1980
30,No Trend,20 Nov 1980,21 Nov 1980
31,Bullish,21 Nov 1980,26 Nov 1980
32,No Trend,26 Nov 1980,01 Dec 1980
33,Bullish,01 Dec 1980,03 Dec 1980
34,Bearish,03 Dec 1980,10 Dec 1980
35,No Trend,10 Dec 1980,12 Dec 1980
36,Bearish,12 Dec 1980,19 Dec 1980
37,Bullish,19 Dec 1980,02 Jan 1981
38,No Trend,02 Jan 1981,07 Jan 1981
39,Bullish,07 Jan 1981,08 Jan 1981
40,Bearish,08 Jan 1981,23 Jan 1981
41,No Trend,23 Jan 1981,27 Jan 1981
42,Bearish,27 Jan 1981,26 Feb 1981
43,Bullish,26 Feb 1981,07 Apr 1981
44,Bearish,07 Apr 1981,20 Apr 1981
45,Bullish,20 Apr 1981,22 Apr 1981
46,Bearish,22 Apr 1981,24 Apr 1981
47,Bullish,24 Apr 1981,29 Apr 1981
48,Bearish,29 Apr 1981,18 May 1981
49,Bullish,18 May 1981,22 May 1981
50,Bearish,22 May 1981,26 May 1981
51,Bullish,26 May 1981,02 Jun 1981
52,Bearish,02 Jun 1981,10 Jun 1981
53,Bullish,10 Jun 1981,18 Jun 1981
54,Bearish,18 Jun 1981,23 Jun 1981
55,Bullish,23 Jun 1981,29 Jun 1981
56,Bearish,29 Jun 1981,16 Jul 1981
57,Bullish,16 Jul 1981,20 Jul 1981
58,Bearish,20 Jul 1981,30 Jul 1981
59,Bullish,30 Jul 1981,11 Aug 1981
60,No Trend,11 Aug 1981,12 Aug 1981
61,Bullish,12 Aug 1981,18 Aug 1981
62,Bearish,18 Aug 1981,28 Aug 1981
63,No Trend,28 Aug 1981,11 Sep 1981
64,Bearish,11 Sep 1981,02 Oct 1981
65,Bullish,02 Oct 1981,19 Oct 1981
66,Bearish,19 Oct 1981,20 Oct 1981
67,Bullish,20 Oct 1981,23 Oct 1981
68,Bearish,23 Oct 1981,30 Oct 1981
69,Bullish,30 Oct 1981,16 Nov 1981
70,Bearish,16 Nov 1981,24 Nov 1981
71,Bullish,24 Nov 1981,14 Dec 1981
72,Bearish,14 Dec 1981,11 Jan 1982
73,No Trend,11 Jan 1982,14 Jan 1982
74,Bearish,14 Jan 1982,28 Jan 1982
75,Bullish,28 Jan 1982,04 Feb 1982
76,Bearish,04 Feb 1982,19 Feb 1982
77,No Trend,19 Feb 1982,22 Feb 1982
78,Bearish,22 Feb 1982,23 Feb 1982
79,No Trend,23 Feb 1982,24 Feb 1982
80,Bearish,24 Feb 1982,19 Mar 1982
81,Bullish,19 Mar 1982,16 Apr 1982
82,No Trend,16 Apr 1982,20 Apr 1982
83,Bullish,20 Apr 1982,17 May 1982
84,Bearish,17 May 1982,27 May 1982
85,No Trend,27 May 1982,11 Jun 1982
86,Bearish,11 Jun 1982,28 Jun 1982
87,Bullish,28 Jun 1982,01 Jul 1982
88,Bearish,01 Jul 1982,12 Jul 1982
89,Bullish,12 Jul 1982,27 Jul 1982
90,Bearish,27 Jul 1982,09 Aug 1982
91,No Trend,09 Aug 1982,13 Aug 1982
92,Bearish,13 Aug 1982,17 Aug 1982
93,Bullish,17 Aug 1982,25 Aug 1982
94,No Trend,25 Aug 1982,07 Sep 1982
95,Bullish,07 Sep 1982,29 Sep 1982
96,Bearish,29 Sep 1982,06 Oct 1982
97,Bullish,06 Oct 1982,13 Oct 1982
98,No Trend,13 Oct 1982,14 Oct 1982
99,Bullish,14 Oct 1982,20 Oct 1982
100,No Trend,20 Oct 1982,25 Oct 1982
101,Bullish,25 Oct 1982,29 Oct 1982
102,Bearish,29 Oct 1982,01 Nov 1982
103,Bullish,01 Nov 1982,15 Nov 1982
104,Bearish,15 Nov 1982,01 Dec 1982
105,Bullish,01 Dec 1982,14 Dec 1982
106,Bearish,14 Dec 1982,23 Dec 1982
107,Bullish,23 Dec 1982,24 Jan 1983
108,Bearish,24 Jan 1983,31 Jan 1983
109,Bullish,31 Jan 1983,01 Feb 1983
110,Bearish,01 Feb 1983,04 Feb 1983
111,Bullish,04 Feb 1983,16 Mar 1983
112,Bearish,16 Mar 1983,23 Mar 1983
113,Bullish,23 Mar 1983,06 Apr 1983
114,Bearish,06 Apr 1983,08 Apr 1983
115,Bullish,08 Apr 1983,26 Apr 1983
116,No Trend,26 Apr 1983,27 Apr 1983
117,Bullish,27 Apr 1983,18 May 1983
118,Bearish,18 May 1983,24 May 1983
119,Bullish,24 May 1983,31 May 1983
120,Bearish,31 May 1983,06 Jun 1983
121,Bullish,06 Jun 1983,07 Jun 1983
122,Bearish,07 Jun 1983,14 Jun 1983
123,Bullish,14 Jun 1983,29 Jun 1983
124,Bearish,29 Jun 1983,01 Jul 1983
125,Bullish,01 Jul 1983,05 Jul 1983
126,Bearish,05 Jul 1983,20 Jul 1983
127,Bullish,20 Jul 1983,28 Jul 1983
128,Bearish,28 Jul 1983,16 Aug 1983
129,Bullish,16 Aug 1983,24 Aug 1983
130,Bearish,24 Aug 1983,31 Aug 1983
131,Bullish,31 Aug 1983,15 Sep 1983
132,Bearish,15 Sep 1983,16 Sep 1983
133,Bullish,16 Sep 1983,30 Sep 1983
134,Bearish,30 Sep 1983,06 Oct 1983
135,Bullish,06 Oct 1983,18 Oct 1983
136,Bearish,18 Oct 1983,28 Oct 1983
137,No Trend,28 Oct 1983,02 Nov 1983
138,Bearish,02 Nov 1983,04 Nov 1983
139,No Trend,04 Nov 1983,07 Nov 1983
140,Bearish,07 Nov 1983,11 Nov 1983
141,Bullish,11 Nov 1983,02 Dec 1983
142,Bearish,02 Dec 1983,27 Dec 1983
143,Bullish,27 Dec 1983,06 Jan 1984
144,No Trend,06 Jan 1984,09 Jan 1984
145,Bullish,09 Jan 1984,20 Jan 1984
146,Bearish,20 Jan 1984,06 Feb 1984
147,No Trend,06 Feb 1984,10 Feb 1984
148,Bearish,10 Feb 1984,13 Feb 1984
149,No Trend,13 Feb 1984,14 Feb 1984
